# As_1e9 ns H0 omegab omegam w w0pwa roman_A1_1 roman_A1_2 roman_DZ_S1 roman_DZ_S2 roman_DZ_S3 roman_DZ_S4 roman_DZ_S5 roman_DZ_S6 roman_DZ_S7 roman_DZ_S8 roman_M1 roman_M2 roman_M3 roman_M4 roman_M5 roman_M6 roman_M7 roman_M8 roman_B1_1 roman_B1_2 roman_B1_3 roman_B1_4 roman_B1_5 roman_B1_6 roman_B1_7 roman_B1_8
1.893844905708921833e-02 1.500239309874154114e-03 -6.075436797578280812e-01 -8.974575713243087682e-04 4.804920349484724133e-05 -8.968271788913353363e-04 5.878659608748073705e-04 -4.216610103719050496e-05 9.203549424894644747e-04 1.518227576231460101e-05 5.673403444653000535e-06 4.733751657514217366e-06 -7.020891960605199576e-06 -8.506085133602058244e-06 -1.318364256317050074e-05 -4.306008569299469345e-06 1.393866037841106266e-05 -3.609094531231884628e-04 -2.618819205252526441e-04 -2.536707409104067053e-04 -2.366351975361705401e-04 -2.387186329995633158e-04 -2.329507354416074589e-04 -2.280127996281924754e-04 -2.033616522604064867e-04 -7.432552883924250240e-05 -7.231450524223341221e-06 -6.016067646176747442e-06 4.474254144749473575e-05 2.098088507333480471e-05 2.034170371916160460e-05 -1.856915728607253088e-05 -2.419085187293803545e-05
1.500239309874154114e-03 1.502695410100954136e-04 -4.581907670680480937e-02 -7.559207526540658213e-05 -2.319985812100099740e-05 -2.161158588398743674e-04 4.379840106183934120e-04 4.795990972794533867e-05 1.068760421601734352e-04 -7.820682401205598232e-08 1.384626871283063968e-07 4.963914745142877139e-07 1.951846406420136531e-07 -1.067060914240319348e-07 -7.239703023936935295e-07 -2.046528127021351032e-07 1.019996803297779857e-06 -4.585261608697727240e-05 -8.180959895973419579e-06 -3.023693453421444867e-06 4.600005115403175960e-07 2.084515851528240363e-06 3.621211117064870588e-06 4.547718117469813667e-06 6.567719947621206622e-06 -1.119806094135660941e-05 1.648198052779736050e-06 2.351332868191062734e-06 5.656659111238266128e-06 3.308518675611992998e-06 3.152473833816937594e-06 -7.252210136179912681e-07 -1.956639975996025081e-06
-6.075436797578280812e-01 -4.581907670680480937e-02 2.554455353045637267e+01 3.546922795822187585e-02 -2.345641094768588161e-02 -1.570807712782662235e-01 3.037523901555805317e-01 4.313931726842517439e-02 -3.070030441423457490e-02 1.620671314963556661e-04 1.396329264897834327e-04 -2.184865076421378476e-04 3.517185586732956637e-04 2.571739866974535860e-04 4.418661423328856721e-04 1.411584560486504826e-04 -3.117613822016727888e-04 1.589751890227570838e-04 9.633309700228864098e-03 1.081039722039285438e-02 1.086291656433888315e-02 1.182644386687754963e-02 1.229036947891761801e-02 1.270703274869221244e-02 1.241865299157333610e-02 6.616318712439404719e-04 1.687950607501812438e-03 2.145233930821276690e-03 -4.715665596300683922e-04 -4.195546277836485131e-04 -1.234451026816742094e-03 -9.239674055104061092e-04 -3.543592329314400866e-05
-8.974575713243087682e-04 -7.559207526540658213e-05 3.546922795822187585e-02 7.209993568568313839e-05 2.187126397657956949e-05 1.705611166364032899e-04 -2.474492332728843620e-04 -3.758767213199817490e-05 -2.294707758684817631e-05 -1.720662210419132046e-06 -4.453807444589863298e-07 -4.292136426119078701e-07 -3.956490346454951314e-07 1.327641212524236259e-07 8.016589220338540543e-07 2.932121365082489735e-07 -3.364712706173078140e-07 7.763204136538532775e-06 -3.741363374740311662e-06 -3.438116562198137842e-06 -4.278853376092817110e-06 -4.919302911763736292e-06 -5.471638361886692700e-06 -5.490380681333469773e-06 -6.420178922323580504e-06 4.598270955414500096e-06 -2.090636195160210406e-06 -7.025096932162446330e-08 -2.126328610178028216e-06 -9.442759098369095985e-07 -1.496109609215213263e-06 8.517723938040191931e-07 1.116607620186191963e-06
4.804920349484724133e-05 -2.319985812100099740e-05 -2.345641094768588161e-02 2.187126397657956949e-05 1.859666706052156193e-04 1.365414882052713979e-03 -2.359348594656746415e-03 -3.388580172555146581e-04 4.215489856187914266e-05 -5.875685714387969866e-06 -2.405691535660265571e-06 -1.864339629141187059e-07 -2.492863627449343115e-06 -6.057227861207151602e-07 2.125371638905753392e-07 2.021971900046585439e-07 7.048321630108883210e-08 4.837308911399014596e-05 -4.717992816705022033e-05 -5.506690757012074511e-05 -5.887877009427743761e-05 -6.590271031383470831e-05 -7.035504681287620707e-05 -7.325549927221882600e-05 -7.557335213567306783e-05 1.366011089896903218e-05 -1.378087270870788846e-05 -1.291844954774847739e-05 -6.305575918547841769e-06 -2.330469566478889026e-06 1.150794270720328069e-06 7.597405857683990812e-06 4.292428344627334714e-06
-8.968271788913353363e-04 -2.161158588398743674e-04 -1.570807712782662235e-01 1.705611166364032899e-04 1.365414882052713979e-03 1.273952945321169677e-02 -2.071677245601033154e-02 -2.713837446876424513e-03 6.151715548673366164e-04 -5.790246814720851471e-05 -1.636760425616507061e-05 7.284520334746110405e-06 -6.978636224325231523e-06 6.917977827228321771e-06 9.711805174299913455e-06 5.009403197812219371e-06 -9.153298213089224196e-06 7.236631928257492236e-04 1.079120540178891941e-04 6.871163851310415184e-05 4.053565967540556620e-05 -1.619478719046031905e-05 -5.774482234710591943e-05 -9.174752934091229056e-05 -1.283930081609921479e-04 7.695822095865590372e-05 -1.289573135100749619e-04 -1.130933421671888794e-04 -6.303137502126088536e-05 -1.810904151618205195e-05 1.988736444121327234e-05 7.819245727317907890e-05 4.097913193680014393e-05
5.878659608748073705e-04 4.379840106183934120e-04 3.037523901555805317e-01 -2.474492332728843620e-04 -2.359348594656746415e-03 -2.071677245601033154e-02 3.979578221368332974e-02 4.538949103490756351e-03 -1.425170536945420761e-03 5.826950354357952796e-05 -6.571978582281836186e-06 -3.315457723391565623e-05 8.069480586846451963e-06 -6.466442740988475663e-06 -6.961952255180368600e-06 5.637155178297637041e-07 1.312735586827568920e-05 -2.188830928344609960e-04 5.563693515657680598e-04 5.984000534307895407e-04 6.367256002165493003e-04 7.335313042606993661e-04 8.023149859372943069e-04 8.514494604265978889e-04 8.913845911951420514e-04 -2.179574147331860673e-05 2.927263371840593625e-04 2.195798306480713691e-04 9.627416632697674819e-05 -5.619985047483173057e-06 -8.569038239076742140e-05 -2.009385026408467027e-04 -9.506599058573511455e-05
-4.216610103719050496e-05 4.795990972794533867e-05 4.313931726842517439e-02 -3.758767213199817490e-05 -3.388580172555146581e-04 -2.713837446876424513e-03 4.538949103490756351e-03 1.031147916190240047e-03 -4.059607443167288256e-04 1.204485640805699084e-05 7.332353440815018457e-06 7.874814344373930654e-07 4.512696153634658842e-06 8.537541756669192087e-07 -6.919918232420771326e-07 -7.064955419242020474e-07 5.802430775869138453e-07 2.463402955452188348e-04 4.882513493846070863e-05 5.517884979216264253e-05 5.922481446491634140e-05 7.128233102069051277e-05 7.997322836752720132e-05 8.659091852223878760e-05 9.282909179369544929e-05 -3.158430756725469281e-05 2.631644510182927846e-05 2.599778828469706809e-05 1.427301895362580065e-05 6.412866600083209987e-06 -5.121141042055316537e-07 -1.264934825300135248e-05 -7.535035456253960529e-06
9.203549424894644747e-04 1.068760421601734352e-04 -3.070030441423457490e-02 -2.294707758684817631e-05 4.215489856187914266e-05 6.151715548673366164e-04 -1.425170536945420761e-03 -4.059607443167288256e-04 2.976488055668228758e-02 -1.288589129051945323e-05 -1.292067569213959287e-05 6.312457622270857343e-06 1.174758067762268957e-05 1.543175550309574802e-05 1.342514329269480708e-05 3.073346089099721271e-06 -1.079250561040649135e-05 -4.215369957666866008e-03 -8.584904909932387440e-05 1.779628606709771133e-06 6.428857515278921724e-06 -7.151780003829890124e-06 -2.295582601085650849e-05 -3.999168908395451952e-05 -7.023958262672181383e-05 5.300376295884868413e-06 -2.749901369479404635e-05 -1.345347273553570589e-05 1.955434449492832859e-07 6.442521756190065172e-06 1.081297731744357109e-05 1.310306369898537650e-05 4.385986058695676685e-06
1.518227576231460101e-05 -7.820682401205598232e-08 1.620671314963556661e-04 -1.720662210419132046e-06 -5.875685714387969866e-06 -5.790246814720851471e-05 5.826950354357952796e-05 1.204485640805699084e-05 -1.288589129051945323e-05 2.409493051821361352e-06 6.738683393726443580e-07 4.107248266619712278e-07 2.717480415581394126e-07 6.777158740261376878e-08 -3.985965318221559321e-08 -4.890045316059668904e-08 3.570318107101498449e-08 -3.336848994231706738e-06 1.019835721591712065e-06 -1.409070332155498034e-06 -2.060963504413643463e-06 -2.191581839329528204e-06 -2.233946962541301282e-06 -2.218382277341556074e-06 -2.090603336754889498e-06 7.233434075044305017e-07 -2.796580737755193339e-07 -7.049426646541454764e-09 1.159209537303150342e-07 1.187388310761229149e-07 9.111965904068426813e-08 -7.052595054924636134e-08 -7.504117013479475661e-08
5.673403444653000535e-06 1.384626871283063968e-07 1.396329264897834327e-04 -4.453807444589863298e-07 -2.405691535660265571e-06 -1.636760425616507061e-05 -6.571978582281836186e-06 7.332353440815018457e-06 -1.292067569213959287e-05 6.738683393726443580e-07 2.290007662968070718e-06 5.720122474154421814e-07 2.808114121061421466e-07 1.443168997248248720e-07 5.002201174160384460e-08 -2.934846425073696986e-09 3.385933493050341984e-09 1.229236307474942079e-05 -3.938969021168458828e-06 -2.410435292403578110e-07 -8.786920031428777842e-07 -1.427555069519412951e-06 -1.743596502079332192e-06 -1.899743486369055414e-06 -1.925218648765413801e-06 -2.720579098057186513e-07 7.226826614413327276e-07 -2.683932614779883754e-07 -2.584014036416410547e-07 -3.985312059636838758e-08 6.330665661470801782e-08 1.293920798691827730e-07 4.829442888314971709e-08
4.733751657514217366e-06 4.963914745142877139e-07 -2.184865076421378476e-04 -4.292136426119078701e-07 -1.864339629141187059e-07 7.284520334746110405e-06 -3.315457723391565623e-05 7.874814344373930654e-07 6.312457622270857343e-06 4.107248266619712278e-07 5.720122474154421814e-07 2.038664429524346102e-06 5.246296239008746121e-07 2.190642937150483920e-07 1.128109235424566569e-07 3.858819442283674637e-08 -1.721822743303795308e-08 7.221412420144833489e-07 1.349127268190113740e-07 -2.489748915540830694e-06 -7.984899349137134694e-08 -2.338547012060389373e-07 -5.996482822820657445e-07 -8.637936747301157397e-07 -1.036739603668649867e-06 -2.206175180562469540e-07 -4.265360702610544867e-07 6.336456107854106880e-07 -2.480935803111817033e-07 -1.663495140225322820e-07 2.088791256938060278e-09 1.267284330451863000e-07 7.120647992364865194e-08
-7.020891960605199576e-06 1.951846406420136531e-07 3.517185586732956637e-04 -3.956490346454951314e-07 -2.492863627449343115e-06 -6.978636224325231523e-06 8.069480586846451963e-06 4.512696153634658842e-06 1.174758067762268957e-05 2.717480415581394126e-07 2.808114121061421466e-07 5.246296239008746121e-07 2.287546678145632319e-06 4.710839974800784757e-07 1.607253370059989088e-07 6.766018593023807341e-08 -2.672567298416862554e-08 -9.883566932741922532e-07 1.814217907758161172e-06 1.577016128679808267e-06 -2.906127746420333820e-07 1.936874091168189161e-06 1.940387447007441161e-06 1.700505015257605954e-06 1.462009411790924301e-06 -3.497426534323903571e-07 1.384971030839620903e-07 -2.045358507344201926e-07 6.753168627476087364e-07 -1.405778430807095239e-07 -1.362019091780116551e-07 -1.137235985588547005e-07 -2.980678876130029780e-08
-8.506085133602058244e-06 -1.067060914240319348e-07 2.571739866974535860e-04 1.327641212524236259e-07 -6.057227861207151602e-07 6.917977827228321771e-06 -6.466442740988475663e-06 8.537541756669192087e-07 1.543175550309574802e-05 6.777158740261376878e-08 1.443168997248248720e-07 2.190642937150483920e-07 4.710839974800784757e-07 2.611530762879127341e-06 3.778203543075754952e-07 1.022471897539167622e-07 -2.441897933182365004e-08 -9.641576583867996603e-07 1.598258948497604713e-06 1.716483444146044654e-06 1.537240562655916738e-06 -7.060036045577582186e-08 1.879852708318736981e-06 1.787129029053635358e-06 1.473613859813263167e-06 -1.708791588118546847e-07 -4.725702365229033342e-08 6.412894714475416969e-08 -3.322252894441903391e-07 5.218211039038991668e-07 -1.490442055217719483e-07 -1.169785764982655715e-07 -2.322186495622423985e-08
-1.318364256317050074e-05 -7.239703023936935295e-07 4.418661423328856721e-04 8.016589220338540543e-07 2.125371638905753392e-07 9.711805174299913455e-06 -6.961952255180368600e-06 -6.919918232420771326e-07 1.342514329269480708e-05 -3.985965318221559321e-08 5.002201174160384460e-08 1.128109235424566569e-07 1.607253370059989088e-07 3.778203543075754952e-07 3.008010597459726333e-06 2.701393746463687919e-07 -6.011817588128113275e-10 -7.215048924731953329e-07 1.193410352962805566e-06 1.322253045438377514e-06 1.340059981924193077e-06 1.225677446207996670e-06 -1.955375388330563530e-07 1.488003561701972715e-06 1.279518212798780218e-06 -1.699476871544777912e-09 -5.905159603955937206e-08 -5.515342325804837905e-08 4.697590873785461437e-09 -2.724782880303260019e-07 3.448068771517678982e-07 -1.389256669780151994e-07 -2.727412073504625322e-08
-4.306008569299469345e-06 -2.046528127021351032e-07 1.411584560486504826e-04 2.932121365082489735e-07 2.021971900046585439e-07 5.009403197812219371e-06 5.637155178297637041e-07 -7.064955419242020474e-07 3.073346089099721271e-06 -4.890045316059668904e-08 -2.934846425073696986e-09 3.858819442283674637e-08 6.766018593023807341e-08 1.022471897539167622e-07 2.701393746463687919e-07 3.398586190512762450e-06 1.318098373816911031e-07 7.714252424689022378e-08 6.835278133157479303e-07 7.447454448734901656e-07 7.698703869555181429e-07 7.797492854095385022e-07 7.335608323999779171e-07 -3.901910331085426304e-07 9.833089383068565258e-07 5.620548540076878687e-08 -4.724471831158984373e-11 -3.958753185082741952e-08 -7.458560775412045481e-08 -2.485113705850444422e-09 -1.907368626724515936e-07 2.073564143093296432e-07 -5.522985885961186294e-08
1.393866037841106266e-05 1.019996803297779857e-06 -3.117613822016727888e-04 -3.364712706173078140e-07 7.048321630108883210e-08 -9.153298213089224196e-06 1.312735586827568920e-05 5.802430775869138453e-07 -1.079250561040649135e-05 3.570318107101498449e-08 3.385933493050341984e-09 -1.721822743303795308e-08 -2.672567298416862554e-08 -2.441897933182365004e-08 -6.011817588128113275e-10 1.318098373816911031e-07 3.930692920566257677e-06 -1.135633410400463672e-06 -2.086049759832904220e-06 -2.062312790497007333e-06 -2.001083090041527122e-06 -1.944543539343157869e-06 -1.881127742903641349e-06 -1.811490556062068439e-06 -2.245369438567540471e-06 -5.824138268888168648e-08 5.416501381463949879e-08 3.603737857929491350e-08 4.830533457427658105e-08 -1.350022900844776927e-08 -7.514186148926586842e-09 -8.317111186782369163e-08 4.871030885629452097e-08
-3.609094531231884628e-04 -4.585261608697727240e-05 1.589751890227570838e-04 7.763204136538532775e-06 4.837308911399014596e-05 7.236631928257492236e-04 -2.188830928344609960e-04 2.463402955452188348e-04 -4.215369957666866008e-03 -3.336848994231706738e-06 1.229236307474942079e-05 7.221412420144833489e-07 -9.883566932741922532e-07 -9.641576583867996603e-07 -7.215048924731953329e-07 7.714252424689022378e-08 -1.135633410400463672e-06 2.371671595226004878e-03 2.348739311807715956e-04 2.006225288682590463e-04 1.797731560592455381e-04 1.676027891564726849e-04 1.595764161121423336e-04 1.529106350166271975e-04 1.463119288498171454e-04 7.511739104693503972e-06 1.360131108406028978e-05 5.403857465849247322e-06 -1.916634717286368329e-06 -3.410501041210669446e-06 -4.199199797573508611e-06 -4.557040722483936042e-06 -1.459168221520597211e-06
-2.618819205252526441e-04 -8.180959895973419579e-06 9.633309700228864098e-03 -3.741363374740311662e-06 -4.717992816705022033e-05 1.079120540178891941e-04 5.563693515657680598e-04 4.882513493846070863e-05 -8.584904909932387440e-05 1.019835721591712065e-06 -3.938969021168458828e-06 1.349127268190113740e-07 1.814217907758161172e-06 1.598258948497604713e-06 1.193410352962805566e-06 6.835278133157479303e-07 -2.086049759832904220e-06 2.348739311807715956e-04 2.659634886838977384e-04 1.715995899164596023e-04 1.658320569857490534e-04 1.636509753011375335e-04 1.608849907375166301e-04 1.570279836299959893e-04 1.509569101722852194e-04 1.288970281559913114e-05 5.604712045143129363e-06 5.903651286855247063e-06 4.725502433492094637e-07 -1.265876870269221142e-06 -2.136616959498947945e-06 -4.256019932305996881e-06 -1.999682678074442917e-06
-2.536707409104067053e-04 -3.023693453421444867e-06 1.081039722039285438e-02 -3.438116562198137842e-06 -5.506690757012074511e-05 6.871163851310415184e-05 5.984000534307895407e-04 5.517884979216264253e-05 1.779628606709771133e-06 -1.409070332155498034e-06 -2.410435292403578110e-07 -2.489748915540830694e-06 1.577016128679808267e-06 1.716483444146044654e-06 1.322253045438377514e-06 7.447454448734901656e-07 -2.062312790497007333e-06 2.006225288682590463e-04 1.715995899164596023e-04 2.039486262688853223e-04 1.637237461363856995e-04 1.619347623954195533e-04 1.597705151441046706e-04 1.564377535656526880e-04 1.508443049337800167e-04 1.031168668789712688e-05 9.665074993815377032e-06 4.161690473889793672e-06 3.396108454990708097e-07 -1.101734403169097783e-06 -2.050101917754123319e-06 -4.166412867825591811e-06 -2.003350474937057172e-06
-2.366351975361705401e-04 4.600005115403175960e-07 1.086291656433888315e-02 -4.278853376092817110e-06 -5.887877009427743761e-05 4.053565967540556620e-05 6.367256002165493003e-04 5.922481446491634140e-05 6.428857515278921724e-06 -2.060963504413643463e-06 -8.786920031428777842e-07 -7.984899349137134694e-08 -2.906127746420333820e-07 1.537240562655916738e-06 1.340059981924193077e-06 7.698703869555181429e-07 -2.001083090041527122e-06 1.797731560592455381e-04 1.658320569857490534e-04 1.637237461363856995e-04 1.822197784281922781e-04 1.603290564359926955e-04 1.583048328981198931e-04 1.552482799949372037e-04 1.499639178274915540e-04 9.186596763504690675e-06 9.713068462371071967e-06 6.232725193054907924e-06 -5.511417538813437673e-07 -1.090646239552053622e-06 -2.049430514589344098e-06 -4.300417368082124766e-06 -2.076225274986074371e-06
-2.387186329995633158e-04 2.084515851528240363e-06 1.182644386687754963e-02 -4.919302911763736292e-06 -6.590271031383470831e-05 -1.619478719046031905e-05 7.335313042606993661e-04 7.128233102069051277e-05 -7.151780003829890124e-06 -2.191581839329528204e-06 -1.427555069519412951e-06 -2.338547012060389373e-07 1.936874091168189161e-06 -7.060036045577582186e-08 1.225677446207996670e-06 7.797492854095385022e-07 -1.944543539343157869e-06 1.676027891564726849e-04 1.636509753011375335e-04 1.619347623954195533e-04 1.603290564359926955e-04 1.739582728301751903e-04 1.590218603717493166e-04 1.561832395433420903e-04 1.511783590145653045e-04 8.264938521042795207e-06 1.052594479640640192e-05 6.387226735959762566e-06 8.422758306938857473e-07 -1.601928110935642730e-06 -2.133758261524920619e-06 -4.663134867933113346e-06 -2.259505366358736571e-06
-2.329507354416074589e-04 3.621211117064870588e-06 1.229036947891761801e-02 -5.471638361886692700e-06 -7.035504681287620707e-05 -5.774482234710591943e-05 8.023149859372943069e-04 7.997322836752720132e-05 -2.295582601085650849e-05 -2.233946962541301282e-06 -1.743596502079332192e-06 -5.996482822820657445e-07 1.940387447007441161e-06 1.879852708318736981e-06 -1.955375388330563530e-07 7.335608323999779171e-07 -1.881127742903641349e-06 1.595764161121423336e-04 1.608849907375166301e-04 1.597705151441046706e-04 1.583048328981198931e-04 1.590218603717493166e-04 1.673541916612493550e-04 1.558130048255027163e-04 1.510314412599610091e-04 7.601892604081420058e-06 1.097047076534775697e-05 6.889433973729354604e-06 8.361309437941256180e-07 -8.868723768241184722e-07 -2.489269141472261323e-06 -4.883206704113693703e-06 -2.392067517133741577e-06
